system_id	system_name	description	business_unit	primary_purpose	data_inputs	outputs	deployment_status	system_owner	vendor_or_internal	go_live_date	last_review_date	review_cycle	affected_persons	geographic_scope	eu_ai_act_risk_tier	nist_rmf_maturity_level	notes
HFG-AI-001	CreditLens Decisioning	ML model assessing consumer loan applications and generating a creditworthiness score and decision recommendation	Retail Lending	Credit risk assessment and loan decisioning	Credit bureau data; bank transaction history; employment status; income; postcode; existing debt obligations	Creditworthiness score (0–999); approve/refer/decline recommendation	Production	Director of Credit Risk	Internal (proprietary gradient-boosted model)	2021-11-01	2025-08-15	6 months	Loan and credit card applicants	EU — DE, NL, IE	High-Risk	2	Annex III Category 5(b) — creditworthiness assessment of natural persons. Output is the primary input to lending decisions, not advisory. Postcode and employment fields carry known proxy-discrimination risk. Explainability layer exists but lacks documented validation against Article 13 transparency standard.
HFG-AI-002	ApplicantIQ Screener	NLP-based resume parsing and candidate ranking tool used in early-stage recruitment screening	Human Resources	Recruitment — CV screening and candidate shortlisting	CV text and attachments; cover letters; structured application form data; years of experience	Ranked candidate shortlist; suitability score; auto-rejection flag below threshold	Production	HR Director	Vendor — TalentForge Solutions Ltd	2022-06-01	2024-12-01	12 months	External job applicants	EU — all hiring jurisdictions	High-Risk	1	Annex III Category 4(a) — recruitment and selection screening. No documented conformity assessment since go-live. No bias audit conducted. Auto-rejection below score threshold occurs without mandatory human review — this is a substantive gap against Article 14. Highest-priority remediation item in the portfolio.
HFG-AI-003	SentinelAML Monitor	Transaction monitoring system using anomaly detection to flag potentially suspicious activity for AML/CTF compliance	Financial Crime Compliance	Anti-money laundering transaction surveillance	Transaction amounts and patterns; counterparty data; customer risk rating; geographic indicators; historical alert outcomes	Suspicious activity alert with risk score; case routed to financial crime analyst queue	Production	Head of Financial Crime Compliance	Vendor — Veritone AML Systems (contracted 2020)	2020-09-01	2025-07-01	6 months	All HFG account holders and counterparties	EU — group-wide	High-Risk	3	Annex III Category 5(a) interpretation applies given use in creditworthiness-adjacent risk scoring context for financial service access; treated as high-risk on a conservative legal reading pending final counsel confirmation. Human analyst reviews every alert before SAR filing — human-in-the-loop is substantive. Vendor model retraining cadence not contractually disclosed to HFG; transparency gap with vendor.
HFG-AI-004	VoicePrint Authenticator	Voice biometric system used to authenticate customers calling into the contact centre, replacing manual security questions	Customer Operations	Biometric identity verification for customer authentication	Voice recordings; enrolled voiceprint templates; call metadata	Authentication match score; pass/fail/escalate-to-agent decision	Production	Head of Customer Operations	Vendor — VoxSecure Biometrics GmbH	2023-02-15	2025-03-01	12 months	Retail customers using telephone banking	EU — DE, NL	High-Risk	1	Biometric categorisation under Annex III Category 1 — system uses biometric data for identification/verification of natural persons. No documented data protection impact assessment specific to biometric processing under Article 10. No fallback authentication path audit. Enrolment consent flow has not been reviewed by legal since launch. Critical documentation gap.
HFG-AI-005	Halo Virtual Assistant	Conversational AI chatbot handling Tier-1 customer queries on web and mobile banking channels	Customer Experience	Customer service automation and query deflection	Customer query text; account metadata (with consent); product FAQ knowledge base	Natural language response; intent classification; escalation to human agent on low confidence	Production	Head of Digital Customer Experience	Vendor — Conversly AI (SaaS)	2022-09-01	2025-02-10	12 months	Retail and business banking customers	EU — group-wide	Limited Risk	3	Article 52(1) transparency obligation applies — disclosure that users are interacting with an AI system is implemented on web channel via persistent banner. Mobile app disclosure implemented at session start only, not persistently visible; partial compliance gap.
HFG-AI-006	AdGen Creative Studio	Generative AI tool producing synthetic marketing copy and image variants for campaign A/B testing	Marketing	Marketing content generation	Campaign briefs; brand style guides; historical campaign performance data; stock image libraries	Generated ad copy variants; AI-generated image assets for testing	Production	Head of Brand Marketing	Vendor — Lumen Creative AI	2024-04-01	2025-04-01	12 months	General public (campaign audiences) — indirect	EU — group-wide	Limited Risk	2	Article 50 transparency obligation for AI-generated/synthetic content applies — generated image assets must be marked as artificially generated where they could be mistaken for authentic content. Labelling is not currently applied consistently across all output channels. Compliance gap flagged to Marketing Ops.
HFG-AI-007	WorkforcePulse Monitor	Workplace analytics tool tracking employee productivity signals (system usage, task completion patterns) for management reporting	Human Resources / Operations	Employee productivity and workforce analytics	System login/logout times; application usage patterns; task completion timestamps; team-level aggregation	Productivity dashboards; manager-level team analytics; individual-level flags for unusually low activity	Production	VP of Operations	Internal (People Analytics team)	2023-08-01	2024-08-01	12 months	HFG employees	EU — group-wide	Limited Risk	2	Not an Annex III category, but classification was reviewed carefully given employment-context sensitivity — individual-level flagging (rather than team-aggregate only) brings this closer to a workplace-monitoring risk profile that Works Councils in DE have specifically queried. Employee notice of monitoring exists but consultation with DE Works Council on individual-level flag feature is incomplete. Flagged for HR/Legal follow-up.
HFG-AI-008	PortfolioLens Analytics	Internal business intelligence and forecasting tool used by Finance for portfolio performance trend analysis	Finance	Internal forecasting and portfolio analytics	Aggregated, anonymised loan book and portfolio performance data; macroeconomic indicators	Trend forecasts; portfolio risk dashboards for internal management reporting	Production	Chief Financial Officer	Internal (Finance Data Science team)	2021-05-01	2025-05-01	12 months	Internal management only — no external natural persons affected directly	EU — group-wide	Minimal Risk	3	No Annex III category applies. Output is internal-facing only and does not affect any individual customer or employee directly. Data inputs are aggregated and anonymised prior to model use. No specific EU AI Act obligations identified.
HFG-AI-009	ComplianceScout	NLP-based regulatory horizon-scanning tool monitoring EU and national regulator publications for relevance to HFG's business	Compliance	Regulatory change monitoring and alerting	Public regulatory texts; EBA, ECB, and national regulator publications; press releases	Relevance-tagged summary digest; alert notifications routed to compliance officers	Production	Chief Compliance Officer	Vendor — RegPulse Analytics BV	2022-01-15	2025-01-15	12 months	Internal compliance function only	EU — group-wide	Minimal Risk	3	Internal-use system with no direct or indirect impact on natural persons outside HFG. All outputs are validated by qualified compliance staff before any action is taken. Low risk profile confirmed; no remediation required.
HFG-AI-010	ShiftSync Scheduler	AI-assisted scheduling tool generating recommended shift rosters for branch and contact centre staff	Human Resources / Operations	Workforce scheduling optimisation	Employee availability; skill/qualification tags; historical demand patterns; labour cost constraints	Recommended shift roster; flagged scheduling conflicts for manager review	Pilot	Head of Branch Operations	Internal (HR Systems team)	2026-02-01	N/A	N/A	HFG branch and contact centre employees	EU — IE only (pilot)	Minimal Risk	1	No Annex III category applies — system optimises scheduling logistics and does not evaluate, score, or rank individual employees. All recommended rosters are subject to manager approval before publication. Risk tier to be reconfirmed if scope expands to include individual performance-linked scheduling decisions.
